key,en,es,fr,de,it
active,Active,Activo,Actif,Aktiv,Attivo
add,Add,Agregar,Ajouter,Hinzufügen,Aggiungere
cancel,Cancel,Cancelar,Annuler,Stornieren,Annulla
child_n,Children,Niños,Enfants,Kinder,Bambini
clear,Clear,Claro,Clair,Klar,Chiaro
comment,Comment,Comentario,Commentaire,Kommentar,Commento
confirm,Confirm,Confirmar,Confirmer,Bestätigen,Confermare
copy_to_clipboard_success,Copied to clipboard,Copiado al portapapeles,Copié dans le presse-papier,In die Zwischenablage kopiert,Copiato negli appunti
cost,Cost,Costo,Coût,Kosten,Costo
cost_est,Cost Est.,Costo estimado,Prix estimé,Geschätzte Kosten,Costo stimato
cost_inc,Cost Inc.,Coste incurrido,Coûts encourus,Entstandenen Kosten,Costo sostenuto
create,Create,Crear,Créer,Erstellen,Creare
created_on,Created On,Creado en,Créé sur,Erstellt am,Creato
currency,Currency,Divisa,Monnaie,Währung,Valuta
days,Days,Días,Jours,Tage,Giorni
days_per_week,Days per Week,Días por semana,Jours par semaine,Tage pro Woche,Giorni alla settimana
delete,Delete,Borrar,Supprimer,Löschen,Eliminare
desc_n,Descendants,Descendientes,Descendance,Nachkommenschaft,Discendenti
description,Description,Descripción,Description,Beschreibung,Descrizione
display,Display,Mostrar,Afficher,Anzeige,Schermo
drop_after,Drop After,Soltar después,Déposer après,Danach fallenlassen,Rilascia dopo
drop_in,Drop In,Colocar dentro,Placer à l'intérieur,Drinnen legen,Mettilo dentro
edit,Edit,Editar,Modifier,Bearbeiten,Modificare
end_on,End On,Finalizará el,Fin le,Endet am,Fine su
entity_name_members,{{Name}} Members,{{Name}} Miembros,{{Name}} Membres,{{Name}} Mitglieder,{{Name}} Membri
false,False,Falso,Faux,Falsch,Falso
file,File,Archivo,Dossier,Datei,File
file_limit,File Limit,File Limit,Limite de fichiers,Dateilimit,Limite file
file_n,File Count,Número de archivos,Nombre de fichiers,Dateianzahl,Conteggio file
file_size,File Size,Tamaño del archivo,Taille du fichier,Dateigröße,Dimensione del file
home,Home,Hogar,Maison,Heim,Casa
